,ta,U,V,ws,hm,vs,pm
2016-01-03 05:00:00,2.6,-1.8369701987210294e-16,-1.0,0.0,90.8,400.0,93.0
2016-01-03 06:00:00,3.2,0.9982398279237652,0.0593063735759612,0.8,90.8,110.0,71.0
2016-01-03 07:00:00,3.5,-0.7501110696304596,0.6613118653236518,0.6,90.9,70.0,27.0
2016-01-03 08:00:00,3.8,0.8338858220671682,0.5519369853120581,0.3,90.8,70.0,32.0
2016-01-03 09:00:00,4.7,-1.8369701987210294e-16,-1.0,0.0,90.7,120.0,71.0
2016-01-03 10:00:00,6.1,0.9063077870366498,-0.4226182617406994,1.3,90.4,1460.0,73.0
2016-01-03 11:00:00,6.9,-0.9988061373414342,-0.0488497697956132,0.2,90.5,2000.0,73.0
2016-01-03 12:00:00,7.9,0.917060074385124,0.3987490689252462,0.3,89.0,2600.0,89.0
2016-01-03 13:00:00,8.7,0.9521293927421388,-0.3056953049631059,1.7,76.1,2760.0,86.0
2016-01-03 14:00:00,9.3,0.5948227867513413,0.8038568606172174,0.8,64.0,4450.0,95.0
2016-01-03 15:00:00,9.5,0.9055687990111392,-0.4241994227453905,1.9,63.0,4450.0,97.0
2016-01-03 16:00:00,9.2,0.9874138067509112,0.1581580672544839,1.4,62.9,4640.0,101.0
2016-01-03 17:00:00,8.4,0.9832549075639546,-0.1822355254921474,0.9,67.6,3850.0,103.0
2016-01-03 18:00:00,7.7,0.8553642601605066,-0.51802700937313,1.2,70.7,3230.0,106.0
2016-01-03 19:00:00,5.9,0.9983418166140284,-0.0575640269595674,0.8,82.9,2170.0,87.0
2016-01-03 20:00:00,4.8,0.4679298142605731,-0.8837656300886935,0.3,86.2,1660.0,110.0
2016-01-03 21:00:00,4.0,-1.8369701987210294e-16,-1.0,0.0,88.8,940.0,112.0
2016-01-03 22:00:00,4.3,0.7547095802227721,0.6560590289905073,0.3,89.2,1380.0,79.0
2016-01-03 23:00:00,3.3,0.123601476740493,-0.9923319378854886,0.6,89.1,800.0,77.0
2016-01-04 00:00:00,2.7,-1.8369701987210294e-16,-1.0,0.0,90.1,670.0,102.0
2016-01-04 01:00:00,1.0,0.3502073812594675,-0.9366721892483976,0.8,90.6,200.0,122.0
2016-01-04 02:00:00,2.7,-0.3794561595290052,0.925209718385782,0.8,90.6,800.0,135.0
2016-01-04 03:00:00,3.1,0.0366437087065562,0.9993283937786565,0.1,90.7,770.0,140.0
2016-01-04 04:00:00,5.3,0.6197790317951403,-0.7847763705330829,3.2,81.8,2210.0,131.0
2016-01-04 05:00:00,4.8,0.4725507648690538,-0.8813034520649922,2.8,73.7,2720.0,126.0
2016-01-04 06:00:00,3.8,0.3665012267242973,-0.9304175679820244,2.1,76.6,2380.0,134.0
2016-01-04 07:00:00,2.0,0.2096185629038222,-0.9777832367586062,1.1,80.8,2090.0,150.0
2016-01-04 08:00:00,0.8,0.1788022151163498,-0.9838850379335417,0.6,75.8,3790.0,107.0
2016-01-04 09:00:00,2.6,0.5180270093731301,-0.8553642601605066,1.6,68.8,4780.0,114.0
2016-01-04 10:00:00,4.1,0.4194520824461773,-0.9077774785329084,3.2,51.0,7500.0,87.0
2016-01-04 11:00:00,5.4,0.3420201433256689,-0.9396926207859084,4.9,40.1,11360.0,65.81865448132619
2016-01-04 12:00:00,5.5,0.5000000000000001,-0.8660254037844385,6.0,32.1,25010.0,45.121165920805154
2016-01-04 13:00:00,5.1,0.4924235601034671,-0.8703556959398996,5.0,34.2,21350.0,32.0
2016-01-04 14:00:00,6.3,0.6652303546543608,-0.7466381822853916,4.1,31.9,33140.0,24.0
2016-01-04 15:00:00,5.9,0.7626683296956883,-0.6467897795104597,3.5,32.2,34040.0,16.0
2016-01-04 16:00:00,5.2,0.6908824110768582,-0.7229671459095685,3.1,38.7,32130.0,24.0
2016-01-04 17:00:00,3.7,0.3452981989985345,-0.938493022759556,2.2,32.4,29980.0,24.0
2016-01-04 18:00:00,1.4,0.4368017883677019,-0.8995577789551803,2.5,37.6,30500.0,21.0
2016-01-04 19:00:00,1.2,0.5807029557109398,-0.8141155183563193,2.7,34.4,37730.0,20.0
2016-01-04 20:00:00,0.8,0.5372996083468239,-0.8433914458128857,3.3,42.7,34570.0,27.0
2016-01-04 21:00:00,0.0,0.5490228179981319,-0.8358073613682702,1.5,50.4,31500.0,22.0
