date,ta,U,V,wd,ws,hm,vs
2016-01-03 04:00:00,1.5,-1.8369701987210297e-16,-1.0,0.0,0.0,90.9,180.0
2016-01-03 05:00:00,2.6,-1.8369701987210297e-16,-1.0,0.0,0.0,90.8,400.0
2016-01-03 06:00:00,3.2,0.9982398279237653,0.05930637357596123,266.6,0.8,90.8,110.0
2016-01-03 07:00:00,3.5,-0.7501110696304596,0.6613118653236518,131.4,0.6,90.9,70.0
2016-01-03 08:00:00,3.8,0.8338858220671682,0.5519369853120581,236.5,0.3,90.8,70.0
2016-01-03 09:00:00,4.7,-1.8369701987210297e-16,-1.0,0.0,0.0,90.7,120.0
2016-01-03 10:00:00,6.1,0.9063077870366498,-0.42261826174069944,295.0,1.3,90.4,1460.0
2016-01-03 11:00:00,6.9,-0.9988061373414342,-0.04884976979561321,87.2,0.2,90.5,2000.0
2016-01-03 12:00:00,7.9,0.9170600743851239,0.39874906892524625,246.5,0.3,89.0,2600.0
2016-01-03 13:00:00,8.7,0.9521293927421387,-0.30569530496310593,287.8,1.7,76.1,2760.0
2016-01-03 14:00:00,9.3,0.5948227867513413,0.8038568606172174,216.5,0.8,64.0,4450.0
2016-01-03 15:00:00,9.5,0.9055687990111393,-0.4241994227453905,295.1,1.9,63.0,4450.0
2016-01-03 16:00:00,9.2,0.9874138067509113,0.15815806725448395,260.9,1.4,62.9,4640.0
2016-01-03 17:00:00,8.4,0.9832549075639546,-0.18223552549214747,280.5,0.9,67.6,3850.0
2016-01-03 18:00:00,7.7,0.8553642601605066,-0.51802700937313,301.2,1.2,70.7,3230.0
2016-01-03 19:00:00,5.9,0.9983418166140284,-0.05756402695956748,273.3,0.8,82.9,2170.0
2016-01-03 20:00:00,4.8,0.4679298142605731,-0.8837656300886935,332.1,0.3,86.2,1660.0
2016-01-03 21:00:00,4.0,-1.8369701987210297e-16,-1.0,0.0,0.0,88.8,940.0
2016-01-03 22:00:00,4.3,0.7547095802227721,0.6560590289905073,229.0,0.3,89.2,1380.0
